d_m,d_nm,lambda_product_hz,lambda_bell_hz,bell_over_product,protection_fraction
1.500000e-07,150.0000,1.265784e+03,5.906991e+02,0.466667,0.533333
1.519652e-07,151.9652,1.265784e+03,6.296304e+02,0.497423,0.502577
1.539562e-07,153.9562,1.265784e+03,6.657687e+02,0.525973,0.474027
1.559733e-07,155.9733,1.265784e+03,6.993695e+02,0.552519,0.447481
1.580167e-07,158.0167,1.265784e+03,7.306588e+02,0.577238,0.422762
1.600870e-07,160.0870,1.265784e+03,7.598376e+02,0.600290,0.399710
1.621844e-07,162.1844,1.265784e+03,7.870849e+02,0.621816,0.378184
1.643092e-07,164.3092,1.265784e+03,8.125609e+02,0.641943,0.358057
1.664619e-07,166.4619,1.265784e+03,8.364091e+02,0.660784,0.339216
1.686428e-07,168.6428,1.265784e+03,8.587587e+02,0.678440,0.321560
1.708523e-07,170.8523,1.265784e+03,8.797262e+02,0.695005,0.304995
1.730907e-07,173.0907,1.265784e+03,8.994167e+02,0.710561,0.289439
1.753585e-07,175.3585,1.265784e+03,9.179257e+02,0.725184,0.274816
1.776559e-07,177.6559,1.265784e+03,9.353396e+02,0.738941,0.261059
1.799835e-07,179.9835,1.265784e+03,9.517373e+02,0.751896,0.248104
1.823415e-07,182.3415,1.265784e+03,9.671905e+02,0.764104,0.235896
1.847305e-07,184.7305,1.265784e+03,9.817650e+02,0.775618,0.224382
1.871507e-07,187.1507,1.265784e+03,9.955206e+02,0.786485,0.213515
1.896027e-07,189.6027,1.265784e+03,1.008513e+03,0.796749,0.203251
1.920868e-07,192.0868,1.265784e+03,1.020791e+03,0.806450,0.193550
1.946034e-07,194.6034,1.265784e+03,1.032403e+03,0.815624,0.184376
1.971530e-07,197.1530,1.265784e+03,1.043392e+03,0.824305,0.175695
1.997360e-07,199.7360,1.265784e+03,1.053795e+03,0.832524,0.167476
2.023528e-07,202.3528,1.265784e+03,1.063651e+03,0.840310,0.159690
2.050040e-07,205.0040,1.265784e+03,1.072993e+03,0.847691,0.152309
2.076898e-07,207.6898,1.265784e+03,1.081852e+03,0.854690,0.145310
2.104109e-07,210.4109,1.265784e+03,1.090257e+03,0.861330,0.138670
2.131676e-07,213.1676,1.265784e+03,1.098236e+03,0.867633,0.132367
2.159604e-07,215.9604,1.265784e+03,1.105812e+03,0.873618,0.126382
2.187898e-07,218.7898,1.265784e+03,1.113010e+03,0.879305,0.120695
2.216563e-07,221.6563,1.265784e+03,1.119851e+03,0.884710,0.115290
2.245603e-07,224.5603,1.265784e+03,1.126355e+03,0.889848,0.110152
2.275024e-07,227.5024,1.265784e+03,1.132542e+03,0.894736,0.105264
2.304830e-07,230.4830,1.265784e+03,1.138428e+03,0.899386,0.100614
2.335027e-07,233.5027,1.265784e+03,1.144031e+03,0.903812,0.096188
2.365619e-07,236.5619,1.265784e+03,1.149366e+03,0.908027,0.091973
2.396612e-07,239.6612,1.265784e+03,1.154447e+03,0.912041,0.087959
2.428011e-07,242.8011,1.265784e+03,1.159287e+03,0.915865,0.084135
2.459822e-07,245.9822,1.265784e+03,1.163901e+03,0.919510,0.080490
2.492049e-07,249.2049,1.265784e+03,1.168299e+03,0.922984,0.077016
2.524699e-07,252.4699,1.265784e+03,1.172492e+03,0.926297,0.073703
2.557776e-07,255.7776,1.265784e+03,1.176492e+03,0.929457,0.070543
2.591287e-07,259.1287,1.265784e+03,1.180308e+03,0.932472,0.067528
2.625237e-07,262.5237,1.265784e+03,1.183949e+03,0.935349,0.064651
2.659631e-07,265.9631,1.265784e+03,1.187425e+03,0.938094,0.061906
2.694476e-07,269.4476,1.265784e+03,1.190743e+03,0.940716,0.059284
2.729778e-07,272.9778,1.265784e+03,1.193912e+03,0.943219,0.056781
2.765542e-07,276.5542,1.265784e+03,1.196939e+03,0.945611,0.054389
2.801775e-07,280.1775,1.265784e+03,1.199830e+03,0.947895,0.052105
2.838483e-07,283.8483,1.265784e+03,1.202593e+03,0.950078,0.049922
2.875671e-07,287.5671,1.265784e+03,1.205233e+03,0.952164,0.047836
2.913347e-07,291.3347,1.265784e+03,1.207757e+03,0.954158,0.045842
2.951516e-07,295.1516,1.265784e+03,1.210171e+03,0.956064,0.043936
2.990185e-07,299.0185,1.265784e+03,1.212478e+03,0.957887,0.042113
3.029361e-07,302.9361,1.265784e+03,1.214685e+03,0.959630,0.040370
3.069050e-07,306.9050,1.265784e+03,1.216796e+03,0.961298,0.038702
3.109259e-07,310.9259,1.265784e+03,1.218815e+03,0.962894,0.037106
3.149995e-07,314.9995,1.265784e+03,1.220747e+03,0.964420,0.035580
3.191265e-07,319.1265,1.265784e+03,1.222597e+03,0.965881,0.034119
3.233075e-07,323.3075,1.265784e+03,1.224366e+03,0.967279,0.032721
3.275433e-07,327.5433,1.265784e+03,1.226060e+03,0.968618,0.031382
3.318346e-07,331.8346,1.265784e+03,1.227682e+03,0.969899,0.030101
3.361822e-07,336.1822,1.265784e+03,1.229235e+03,0.971126,0.028874
3.405867e-07,340.5867,1.265784e+03,1.230722e+03,0.972301,0.027699
3.450489e-07,345.0489,1.265784e+03,1.232147e+03,0.973426,0.026574
3.495695e-07,349.5695,1.265784e+03,1.233511e+03,0.974504,0.025496
3.541494e-07,354.1494,1.265784e+03,1.234818e+03,0.975536,0.024464
3.587893e-07,358.7893,1.265784e+03,1.236070e+03,0.976525,0.023475
3.634900e-07,363.4900,1.265784e+03,1.237270e+03,0.977473,0.022527
3.682522e-07,368.2522,1.265784e+03,1.238419e+03,0.978381,0.021619
3.730769e-07,373.0769,1.265784e+03,1.239521e+03,0.979252,0.020748
3.779648e-07,377.9648,1.265784e+03,1.240577e+03,0.980086,0.019914
3.829167e-07,382.9167,1.265784e+03,1.241589e+03,0.980885,0.019115
3.879334e-07,387.9334,1.265784e+03,1.242559e+03,0.981652,0.018348
3.930160e-07,393.0160,1.265784e+03,1.243489e+03,0.982387,0.017613
3.981651e-07,398.1651,1.265784e+03,1.244381e+03,0.983091,0.016909
