l_m,l_nm,lambda_hz,powerlaw_fit_hz,residual_log10,is_peak
1.000000e-09,1.0000,8.438559e-02,4.309054e-01,-0.708114,0
1.013939e-09,1.0139,8.675457e-02,4.379104e-01,-0.703093,0
1.028073e-09,1.0281,8.919005e-02,4.450293e-01,-0.698072,0
1.042404e-09,1.0424,9.169390e-02,4.522639e-01,-0.693051,0
1.056935e-09,1.0569,9.426804e-02,4.596161e-01,-0.688031,0
1.071668e-09,1.0717,9.691445e-02,4.670878e-01,-0.683010,0
1.086606e-09,1.0866,9.963515e-02,4.746810e-01,-0.677989,0
1.101753e-09,1.1018,1.024322e-01,4.823977e-01,-0.672969,0
1.117111e-09,1.1171,1.053078e-01,4.902398e-01,-0.667948,0
1.132683e-09,1.1327,1.082642e-01,4.982093e-01,-0.662927,0
1.148472e-09,1.1485,1.113035e-01,5.063085e-01,-0.657906,0
1.164481e-09,1.1645,1.144281e-01,5.145393e-01,-0.652886,0
1.180713e-09,1.1807,1.176405e-01,5.229038e-01,-0.647865,0
1.197171e-09,1.1972,1.209431e-01,5.314044e-01,-0.642844,0
1.213859e-09,1.2139,1.243383e-01,5.400432e-01,-0.637824,0
1.230780e-09,1.2308,1.278289e-01,5.488224e-01,-0.632803,0
1.247936e-09,1.2479,1.314175e-01,5.577443e-01,-0.627782,0
1.265332e-09,1.2653,1.351068e-01,5.668112e-01,-0.622761,0
1.282970e-09,1.2830,1.388997e-01,5.760256e-01,-0.617741,0
1.300854e-09,1.3009,1.427990e-01,5.853897e-01,-0.612720,0
1.318987e-09,1.3190,1.468078e-01,5.949061e-01,-0.607699,0
1.337373e-09,1.3374,1.509292e-01,6.045772e-01,-0.602678,0
1.356015e-09,1.3560,1.551663e-01,6.144055e-01,-0.597658,0
1.374917e-09,1.3749,1.595223e-01,6.243936e-01,-0.592637,0
1.394083e-09,1.3941,1.640006e-01,6.345440e-01,-0.587616,0
1.413516e-09,1.4135,1.686046e-01,6.448594e-01,-0.582596,0
1.433219e-09,1.4332,1.733379e-01,6.553426e-01,-0.577575,0
1.453198e-09,1.4532,1.782041e-01,6.659961e-01,-0.572554,0
1.473454e-09,1.4735,1.832068e-01,6.768229e-01,-0.567533,0
1.493993e-09,1.4940,1.883500e-01,6.878256e-01,-0.562513,0
1.514819e-09,1.5148,1.936376e-01,6.990073e-01,-0.557492,0
1.535935e-09,1.5359,1.990737e-01,7.103706e-01,-0.552471,0
1.557345e-09,1.5573,2.046623e-01,7.219188e-01,-0.547450,0
1.579053e-09,1.5791,2.104078e-01,7.336546e-01,-0.542430,0
1.601064e-09,1.6011,2.163147e-01,7.455813e-01,-0.537409,0
1.623382e-09,1.6234,2.223873e-01,7.577018e-01,-0.532388,0
1.646012e-09,1.6460,2.286304e-01,7.700193e-01,-0.527368,0
1.668956e-09,1.6690,2.350488e-01,7.825371e-01,-0.522347,0
1.692220e-09,1.6922,2.416474e-01,7.952584e-01,-0.517326,0
1.715809e-09,1.7158,2.484312e-01,8.081865e-01,-0.512305,0
1.739726e-09,1.7397,2.554055e-01,8.213248e-01,-0.507285,0
1.763977e-09,1.7640,2.625755e-01,8.346766e-01,-0.502264,0
1.788566e-09,1.7886,2.699469e-01,8.482455e-01,-0.497243,0
1.813498e-09,1.8135,2.775252e-01,8.620350e-01,-0.492223,0
1.838777e-09,1.8388,2.853162e-01,8.760487e-01,-0.487202,0
1.864409e-09,1.8644,2.933259e-01,8.902901e-01,-0.482181,0
1.890397e-09,1.8904,3.015605e-01,9.047631e-01,-0.477160,0
1.916748e-09,1.9167,3.100263e-01,9.194714e-01,-0.472140,0
1.943467e-09,1.9435,3.187298e-01,9.344187e-01,-0.467119,0
1.970558e-09,1.9706,3.276775e-01,9.496091e-01,-0.462098,0
1.998026e-09,1.9980,3.368765e-01,9.650464e-01,-0.457077,0
2.025878e-09,2.0259,3.463337e-01,9.807346e-01,-0.452057,0
2.054117e-09,2.0541,3.560564e-01,9.966779e-01,-0.447036,0
2.082751e-09,2.0828,3.660521e-01,1.012880e+00,-0.442015,0
2.111783e-09,2.1118,3.763283e-01,1.029346e+00,-0.436995,0
2.141220e-09,2.1412,3.868931e-01,1.046080e+00,-0.431974,0
2.171068e-09,2.1711,3.977544e-01,1.063085e+00,-0.426953,0
2.201331e-09,2.2013,4.089206e-01,1.080367e+00,-0.421932,0
2.232016e-09,2.2320,4.204004e-01,1.097930e+00,-0.416912,0
2.263130e-09,2.2631,4.322024e-01,1.115779e+00,-0.411891,0
2.294676e-09,2.2947,4.443357e-01,1.133917e+00,-0.406870,0
2.326663e-09,2.3267,4.568096e-01,1.152351e+00,-0.401850,0
2.359095e-09,2.3591,4.696337e-01,1.171084e+00,-0.396829,0
2.391980e-09,2.3920,4.828179e-01,1.190122e+00,-0.391808,0
2.425323e-09,2.4253,4.963721e-01,1.209469e+00,-0.386787,0
2.459130e-09,2.4591,5.103069e-01,1.229131e+00,-0.381767,0
2.493409e-09,2.4934,5.246328e-01,1.249112e+00,-0.376746,0
2.528166e-09,2.5282,5.393610e-01,1.269418e+00,-0.371725,0
2.563407e-09,2.5634,5.545026e-01,1.290054e+00,-0.366704,0
2.599140e-09,2.5991,5.700693e-01,1.311026e+00,-0.361684,0
2.635371e-09,2.6354,5.860729e-01,1.332339e+00,-0.356663,0
2.672106e-09,2.6721,6.025259e-01,1.353998e+00,-0.351642,0
2.709354e-09,2.7094,6.194407e-01,1.376009e+00,-0.346622,0
2.747121e-09,2.7471,6.368304e-01,1.398378e+00,-0.341601,0
2.785414e-09,2.7854,6.547083e-01,1.421111e+00,-0.336580,0
2.824241e-09,2.8242,6.730881e-01,1.444213e+00,-0.331559,0
2.863610e-09,2.8636,6.919838e-01,1.467691e+00,-0.326539,0
2.903527e-09,2.9035,7.114101e-01,1.491550e+00,-0.321518,0
2.944000e-09,2.9440,7.313816e-01,1.515798e+00,-0.316497,0
2.985038e-09,2.9850,7.519139e-01,1.540439e+00,-0.311476,0
3.026648e-09,3.0266,7.730225e-01,1.565481e+00,-0.306456,0
3.068838e-09,3.0688,7.947238e-01,1.590931e+00,-0.301435,0
3.111616e-09,3.1116,8.170342e-01,1.616794e+00,-0.296414,0
3.154990e-09,3.1550,8.399710e-01,1.643077e+00,-0.291394,0
3.198969e-09,3.1990,8.635517e-01,1.669788e+00,-0.286373,0
3.243561e-09,3.2436,8.877944e-01,1.696932e+00,-0.281352,0
3.288774e-09,3.2888,9.127176e-01,1.724519e+00,-0.276331,0
3.334618e-09,3.3346,9.383405e-01,1.752553e+00,-0.271311,0
3.381101e-09,3.3811,9.646828e-01,1.781043e+00,-0.266290,0
3.428231e-09,3.4282,9.917645e-01,1.809997e+00,-0.261269,0
3.476019e-09,3.4760,1.019607e+00,1.839421e+00,-0.256249,0
3.524473e-09,3.5245,1.048230e+00,1.869324e+00,-0.251228,0
3.573602e-09,3.5736,1.077657e+00,1.899712e+00,-0.246207,0
3.623416e-09,3.6234,1.107911e+00,1.930595e+00,-0.241186,0
3.673925e-09,3.6739,1.139013e+00,1.961980e+00,-0.236166,0
3.725137e-09,3.7251,1.170989e+00,1.993874e+00,-0.231145,0
3.777064e-09,3.7771,1.203863e+00,2.026288e+00,-0.226124,0
3.829714e-09,3.8297,1.237659e+00,2.059228e+00,-0.221103,0
3.883098e-09,3.8831,1.272404e+00,2.092704e+00,-0.216083,0
3.937226e-09,3.9372,1.308124e+00,2.126724e+00,-0.211062,0
3.992109e-09,3.9921,1.344848e+00,2.161297e+00,-0.206041,0
4.047757e-09,4.0478,1.382602e+00,2.196432e+00,-0.201021,0
4.104181e-09,4.1042,1.421416e+00,2.232138e+00,-0.196000,0
4.161391e-09,4.1614,1.461320e+00,2.268425e+00,-0.190979,0
4.219398e-09,4.2194,1.502344e+00,2.305301e+00,-0.185958,0
4.278214e-09,4.2782,1.544519e+00,2.342777e+00,-0.180938,0
4.337850e-09,4.3379,1.587879e+00,2.380863e+00,-0.175917,0
4.398317e-09,4.3983,1.632456e+00,2.419567e+00,-0.170896,0
4.459628e-09,4.4596,1.678284e+00,2.458901e+00,-0.165876,0
4.521792e-09,4.5218,1.725399e+00,2.498874e+00,-0.160855,0
4.584824e-09,4.5848,1.773837e+00,2.539497e+00,-0.155834,0
4.648734e-09,4.6487,1.823634e+00,2.580780e+00,-0.150813,0
4.713535e-09,4.7135,1.874829e+00,2.622734e+00,-0.145793,0
4.779239e-09,4.7792,1.927462e+00,2.665371e+00,-0.140772,0
4.845859e-09,4.8459,1.981572e+00,2.708700e+00,-0.135751,0
4.913407e-09,4.9134,2.037201e+00,2.752734e+00,-0.130730,0
4.981898e-09,4.9819,2.094392e+00,2.797484e+00,-0.125710,0
5.051342e-09,5.0513,2.153188e+00,2.842961e+00,-0.120689,0
5.121755e-09,5.1218,2.213635e+00,2.889178e+00,-0.115668,0
5.193150e-09,5.1931,2.275779e+00,2.936146e+00,-0.110648,0
5.265540e-09,5.2655,2.339667e+00,2.983877e+00,-0.105627,0
5.338938e-09,5.3389,2.405349e+00,3.032384e+00,-0.100606,0
5.413360e-09,5.4134,2.472875e+00,3.081680e+00,-0.095585,0
5.488820e-09,5.4888,2.542297e+00,3.131777e+00,-0.090565,0
5.565331e-09,5.5653,2.613667e+00,3.182689e+00,-0.085544,0
5.642908e-09,5.6429,2.687041e+00,3.234428e+00,-0.080523,0
5.721568e-09,5.7216,2.762475e+00,3.287009e+00,-0.075502,0
5.801323e-09,5.8013,2.840027e+00,3.340444e+00,-0.070482,0
5.882190e-09,5.8822,2.919755e+00,3.394748e+00,-0.065461,0
5.964185e-09,5.9642,3.001722e+00,3.449934e+00,-0.060440,0
6.047322e-09,6.0473,3.085990e+00,3.506018e+00,-0.055420,0
6.131619e-09,6.1316,3.172624e+00,3.563014e+00,-0.050399,0
6.217090e-09,6.2171,3.261690e+00,3.620936e+00,-0.045378,0
6.303753e-09,6.3038,3.353256e+00,3.679799e+00,-0.040357,0
6.391624e-09,6.3916,3.447393e+00,3.739620e+00,-0.035337,0
6.480720e-09,6.4807,3.544172e+00,3.800413e+00,-0.030316,0
6.571058e-09,6.5711,3.643668e+00,3.862194e+00,-0.025295,0
6.662655e-09,6.6627,3.745958e+00,3.924980e+00,-0.020275,0
6.755528e-09,6.7555,3.851119e+00,3.988786e+00,-0.015254,0
6.849697e-09,6.8497,3.959232e+00,4.053630e+00,-0.010233,0
6.945178e-09,6.9452,4.070381e+00,4.119527e+00,-0.005212,0
7.041990e-09,7.0420,4.184649e+00,4.186496e+00,-0.000192,0
7.140151e-09,7.1402,4.302126e+00,4.254554e+00,0.004829,0
7.239681e-09,7.2397,4.422901e+00,4.323718e+00,0.009850,0
7.340598e-09,7.3406,4.547066e+00,4.394007e+00,0.014871,0
7.442922e-09,7.4429,4.674716e+00,4.465438e+00,0.019891,0
7.546673e-09,7.5467,4.805951e+00,4.538030e+00,0.024912,0
7.651869e-09,7.6519,4.940869e+00,4.611802e+00,0.029933,0
7.758532e-09,7.7585,5.079575e+00,4.686774e+00,0.034953,0
7.866682e-09,7.8667,5.222176e+00,4.762964e+00,0.039974,0
7.976339e-09,7.9763,5.368779e+00,4.840393e+00,0.044995,0
8.087525e-09,8.0875,5.519498e+00,4.919081e+00,0.050016,0
8.200261e-09,8.2003,5.674448e+00,4.999048e+00,0.055036,0
8.314568e-09,8.3146,5.833748e+00,5.080315e+00,0.060057,0
8.430468e-09,8.4305,5.997520e+00,5.162903e+00,0.065078,0
8.547985e-09,8.5480,6.165890e+00,5.246833e+00,0.070098,0
8.667139e-09,8.6671,6.338986e+00,5.332128e+00,0.075119,0
8.787954e-09,8.7880,6.516942e+00,5.418810e+00,0.080140,0
8.910453e-09,8.9105,6.699893e+00,5.506901e+00,0.085161,0
9.034660e-09,9.0347,6.887981e+00,5.596424e+00,0.090181,0
9.160598e-09,9.1606,7.081349e+00,5.687402e+00,0.095202,0
9.288292e-09,9.2883,7.280145e+00,5.779859e+00,0.100223,0
9.417766e-09,9.4178,7.484522e+00,5.873819e+00,0.105244,0
9.549045e-09,9.5490,7.694637e+00,5.969306e+00,0.110264,0
9.682153e-09,9.6822,7.910650e+00,6.066346e+00,0.115285,0
9.817117e-09,9.8171,8.132728e+00,6.164964e+00,0.120306,0
9.953962e-09,9.9540,8.361040e+00,6.265184e+00,0.125326,0
1.009272e-08,10.0927,8.595761e+00,6.367034e+00,0.130347,0
1.023340e-08,10.2334,8.837072e+00,6.470540e+00,0.135368,0
1.037605e-08,10.3761,9.085157e+00,6.575728e+00,0.140389,0
1.052069e-08,10.5207,9.340206e+00,6.682626e+00,0.145409,0
1.066734e-08,10.6673,9.602416e+00,6.791262e+00,0.150430,0
1.081604e-08,10.8160,9.871987e+00,6.901664e+00,0.155451,0
1.096681e-08,10.9668,1.014913e+01,7.013860e+00,0.160472,0
1.111968e-08,11.1197,1.043404e+01,7.127881e+00,0.165492,0
1.127468e-08,11.2747,1.072696e+01,7.243755e+00,0.170513,0
1.143184e-08,11.4318,1.102810e+01,7.361513e+00,0.175534,0
1.159120e-08,11.5912,1.133770e+01,7.481185e+00,0.180554,0
1.175277e-08,11.7528,1.165598e+01,7.602803e+00,0.185575,0
